time,air_temp,apparent_t,dewpt,rel_hum,delta_t,wind_dir_deg,wind_spd_kmh,gust_kmh,rain_trace,rain_ten,rain_hour,press
1738243800,0.43175487465181067,0.49261083743842365,0.8956043956043955,0.95,0.017543859649122806,0.46111111111111114,0.45714285714285713,0.41935483870967744,0.009828009828009828,0.03225806451612903,0.02112676056338028,0.46038543897216344
1738245600,0.44289693593314766,0.5443349753694582,0.9065934065934065,0.95,0.017543859649122806,0.4444444444444444,0.34285714285714286,0.3548387096774194,0.009828009828009828,0.0,0.014084507042253523,0.4561027837259122
1738247400,0.44011142061281333,0.5172413793103449,0.8928571428571427,0.93,0.03508771929824562,0.39444444444444443,0.4,0.3763440860215054,0.009828009828009828,0.0,0.0,0.44753747323340487
1738249200,0.44011142061281333,0.5172413793103449,0.8928571428571427,0.93,0.03508771929824562,0.4305555555555556,0.4,0.3548387096774194,0.009828009828009828,0.0,0.0,0.44539614561028046
1738251000,0.44011142061281333,0.5344827586206897,0.8873626373626371,0.92,0.040935672514619874,0.4222222222222222,0.34285714285714286,0.3548387096774194,0.009828009828009828,0.0,0.0,0.4389721627409
1738252800,0.4484679665738162,0.5098522167487686,0.8818681318681317,0.89,0.05847953216374269,0.4388888888888889,0.42857142857142855,0.3763440860215054,0.009828009828009828,0.0,0.0,0.4389721627409
1738254600,0.4512534818941505,0.5270935960591133,0.8736263736263735,0.87,0.07602339181286549,0.44722222222222224,0.37142857142857144,0.3548387096774194,0.009828009828009828,0.0,0.0,0.44539614561028046
1738256400,0.4484679665738162,0.5295566502463054,0.8626373626373626,0.85,0.08187134502923976,0.4361111111111111,0.34285714285714286,0.3548387096774194,0.012285012285012284,0.0,0.007042253521126762,0.44539614561028046
1738258200,0.4512534818941505,0.5147783251231527,0.8653846153846152,0.85,0.08187134502923976,0.41944444444444445,0.4,0.3548387096774194,0.012285012285012284,0.0,0.007042253521126762,0.44325481798715366
1738260000,0.44011142061281333,0.4753694581280788,0.8489010989010988,0.84,0.0935672514619883,0.41944444444444445,0.4714285714285714,0.44086021505376344,0.012285012285012284,0.0,0.0,0.44539614561028046
1738261800,0.4484679665738162,0.49507389162561577,0.846153846153846,0.82,0.10526315789473684,0.4388888888888889,0.42857142857142855,0.41935483870967744,0.012285012285012284,0.0,0.0,0.4539614561027854
1738263600,0.44568245125348194,0.5,0.8379120879120878,0.81,0.1111111111111111,0.4361111111111111,0.4,0.3548387096774194,0.012285012285012284,0.0,0.0,0.46038543897216344
1738265400,0.4540389972144846,0.5073891625615764,0.8406593406593406,0.8,0.11695906432748537,0.4305555555555556,0.4,0.3763440860215054,0.012285012285012284,0.0,0.0,0.4689507494646683
1738267200,0.4568245125348189,0.49261083743842365,0.8434065934065933,0.8,0.12280701754385961,0.4361111111111111,0.45714285714285713,0.41935483870967744,0.012285012285012284,0.0,0.0,0.47537473233404876
1738269000,0.4540389972144846,0.4876847290640394,0.8351648351648351,0.79,0.12865497076023388,0.45,0.45714285714285713,0.3978494623655914,0.012285012285012284,0.0,0.0,0.4817987152034268
1738270800,0.4651810584958218,0.5172413793103449,0.8406593406593406,0.78,0.13450292397660815,0.46111111111111114,0.4,0.3548387096774194,0.012285012285012284,0.0,0.0,0.5032119914346902
1738272600,0.4596100278551532,0.5024630541871922,0.8351648351648351,0.78,0.13450292397660815,0.4388888888888889,0.42857142857142855,0.3763440860215054,0.012285012285012284,0.0,0.0,0.5096359743040707
1738274400,0.4735376044568245,0.5369458128078818,0.8708791208791207,0.82,0.10526315789473684,0.44166666666666665,0.4,0.3548387096774194,0.012285012285012284,0.0,0.0,0.513918629550322
1738276200,0.48189415041782724,0.5295566502463054,0.857142857142857,0.78,0.13450292397660815,0.4444444444444444,0.42857142857142855,0.3763440860215054,0.0,0.0,0.0,0.5203426124197025
1738278000,0.48189415041782724,0.5246305418719212,0.8434065934065933,0.76,0.15204678362573096,0.4305555555555556,0.42857142857142855,0.3763440860215054,0.0,0.0,0.0,0.5224839400428268
1738279800,0.49582172701949856,0.5689655172413793,0.857142857142857,0.76,0.15789473684210523,0.4222222222222222,0.34285714285714286,0.3225806451612903,0.0,0.0,0.0,0.5246252676659536
1738281600,0.5041782729805014,0.5566502463054187,0.8489010989010988,0.73,0.17543859649122806,0.4222222222222222,0.4,0.3548387096774194,0.0,0.0,0.0,0.5310492505353341
1738283400,0.5208913649025071,0.5738916256157636,0.8324175824175823,0.68,0.22222222222222218,0.4083333333333333,0.37142857142857144,0.34408602150537637,0.0,0.0,0.0,0.5310492505353341
1738285200,0.5348189415041784,0.5985221674876847,0.8406593406593406,0.67,0.22807017543859645,0.39444444444444443,0.34285714285714286,0.34408602150537637,0.0,0.0,0.0,0.5331905781584585
1738287000,0.5208913649025071,0.583743842364532,0.8324175824175823,0.68,0.22222222222222218,0.38333333333333336,0.34285714285714286,0.3225806451612903,0.0,0.0,0.0,0.5374732334047122
