time,air_temp,apparent_t,dewpt,rel_hum,delta_t,wind_dir_deg,wind_spd_kmh,gust_kmh,rain_trace,rain_ten,rain_hour,press,wet_bulb_temperature,gust-diff
1730710800,0.587360594795539,0.4630541871921182,0.7486772486772487,0.81,0.1052631578947368,0.3694444444444444,0.2043010752688172,0.2580645161290322,0.0049140049140049,0.0,0.0,0.4668094218415439,0.6705882352941177,0.053763440860215006
1730712600,0.5892193308550187,0.4630541871921182,0.7539682539682541,0.82,0.0994152046783625,0.3972222222222222,0.2150537634408602,0.2795698924731182,0.0049140049140049,0.0,0.0,0.4775160599571756,0.6784313725490196,0.06451612903225801
1730714400,0.5910780669144982,0.4655172413793104,0.7539682539682541,0.81,0.1052631578947368,0.3916666666666666,0.2150537634408602,0.3010752688172043,0.0049140049140049,0.0,0.0,0.4925053533190585,0.6784313725490196,0.08602150537634412
1730716200,0.5910780669144982,0.4655172413793104,0.7539682539682541,0.81,0.1052631578947368,0.4194444444444444,0.2150537634408602,0.3010752688172043,0.0049140049140049,0.0,0.0,0.5096359743040707,0.6784313725490196,0.08602150537634412
1730718000,0.5892193308550187,0.458128078817734,0.7407407407407408,0.79,0.1169590643274853,0.4111111111111111,0.2150537634408602,0.2795698924731182,0.0049140049140049,0.0,0.0,0.5182012847965756,0.6666666666666666,0.06451612903225801
1730719800,0.570631970260223,0.4310344827586206,0.7380952380952381,0.84,0.0818713450292397,0.4361111111111111,0.2150537634408602,0.2795698924731182,0.0049140049140049,0.0,0.0,0.5160599571734488,0.6509803921568628,0.06451612903225801
1730723400,0.5743494423791822,0.4236453201970444,0.7539682539682541,0.86,0.0701754385964912,0.4527777777777778,0.2580645161290322,0.3440860215053763,0.0049140049140049,0.0,0.0,0.5182012847965756,0.6666666666666666,0.08602150537634412
1730725200,0.5799256505576208,0.435960591133005,0.7433862433862435,0.82,0.0935672514619883,0.3944444444444444,0.2365591397849462,0.3010752688172043,0.0049140049140049,0.0,0.0,0.5203426124197025,0.6627450980392157,0.06451612903225812
1730727000,0.5743494423791822,0.4113300492610837,0.7433862433862435,0.84,0.087719298245614,0.4138888888888888,0.2795698924731182,0.3440860215053763,0.0049140049140049,0.0,0.0,0.5160599571734488,0.6588235294117647,0.06451612903225812
1730728800,0.5780669144981413,0.435960591133005,0.7460317460317462,0.83,0.087719298245614,0.3972222222222222,0.2365591397849462,0.3010752688172043,0.0049140049140049,0.0,0.0,0.513918629550322,0.6627450980392157,0.06451612903225812
1730730600,0.5799256505576208,0.4408866995073892,0.7275132275132276,0.79,0.1169590643274853,0.4083333333333333,0.2150537634408602,0.2795698924731182,0.0049140049140049,0.0,0.0,0.5053533190578171,0.6470588235294118,0.06451612903225801
1730732400,0.5817843866171004,0.4408866995073892,0.7195767195767198,0.77,0.1286549707602338,0.4166666666666667,0.2150537634408602,0.3010752688172043,0.0049140049140049,0.0,0.0,0.5010706638115634,0.6431372549019607,0.08602150537634412
1730734200,0.5780669144981413,0.435960591133005,0.7089947089947091,0.76,0.1345029239766081,0.4055555555555555,0.2043010752688172,0.2580645161290322,0.0049140049140049,0.0,0.0,0.498929336188439,0.6274509803921569,0.053763440860215006
1730736000,0.5817843866171004,0.4433497536945812,0.7142857142857143,0.76,0.1345029239766081,0.3777777777777777,0.2043010752688172,0.2795698924731182,0.0049140049140049,0.0,0.0,0.4967880085653122,0.6352941176470588,0.07526881720430101
1730739600,0.5780669144981413,0.4482758620689656,0.7142857142857143,0.77,0.1286549707602338,0.3722222222222222,0.1827956989247312,0.2150537634408602,0.0049140049140049,0.0,0.0,0.4967880085653122,0.6352941176470588,0.032258064516129004
1730741400,0.5817843866171004,0.4458128078817734,0.7195767195767198,0.77,0.1286549707602338,0.3638888888888889,0.2043010752688172,0.2580645161290322,0.0049140049140049,0.0,0.0,0.498929336188439,0.6431372549019607,0.053763440860215006
1730743200,0.5799256505576208,0.4408866995073892,0.716931216931217,0.77,0.1286549707602338,0.3416666666666667,0.2043010752688172,0.2580645161290322,0.0049140049140049,0.0,0.0,0.498929336188439,0.6392156862745099,0.053763440860215006
1730745000,0.5799256505576208,0.4507389162561576,0.716931216931217,0.77,0.1286549707602338,0.3333333333333333,0.1827956989247312,0.2365591397849462,0.0049140049140049,0.0,0.0,0.5053533190578171,0.6392156862745099,0.053763440860215006
1730746800,0.5817843866171004,0.4532019704433498,0.7142857142857143,0.76,0.1345029239766081,0.3166666666666666,0.1827956989247312,0.2150537634408602,0.0049140049140049,0.0,0.0,0.5160599571734488,0.6352941176470588,0.032258064516129004
1730748600,0.5855018587360595,0.4458128078817734,0.7089947089947091,0.74,0.1461988304093567,0.35,0.2043010752688172,0.2795698924731182,0.0049140049140049,0.0,0.0,0.5203426124197025,0.6352941176470588,0.07526881720430101
1730750400,0.5855018587360595,0.4458128078817734,0.7089947089947091,0.74,0.1461988304093567,0.3444444444444444,0.2043010752688172,0.2365591397849462,0.0049140049140049,0.0,0.0,0.5289079229122073,0.6352941176470588,0.032258064516129004
1730752200,0.5947955390334573,0.4704433497536946,0.7142857142857143,0.73,0.1578947368421052,0.3555555555555555,0.1827956989247312,0.2043010752688172,0.0049140049140049,0.0,0.0,0.5331905781584585,0.6470588235294118,0.021505376344086002
1730754000,0.5966542750929369,0.4901477832512315,0.7116402116402116,0.72,0.1637426900584795,0.35,0.1397849462365591,0.1827956989247312,0.0049140049140049,0.0,0.0,0.539614561027839,0.6470588235294118,0.04301075268817209
1730755800,0.5929368029739778,0.4753694581280788,0.7063492063492065,0.72,0.1637426900584795,0.3611111111111111,0.1612903225806451,0.2043010752688172,0.0049140049140049,0.0,0.0,0.5481798715203439,0.6392156862745099,0.04301075268817209
1730757600,0.5910780669144982,0.4876847290640394,0.7275132275132276,0.76,0.1345029239766081,0.3805555555555555,0.1397849462365591,0.2043010752688172,0.0049140049140049,0.0,0.0,0.5524625267665976,0.6549019607843137,0.06451612903225809
1730759400,0.6226765799256506,0.5221674876847291,0.7301587301587302,0.69,0.1929824561403508,0.3527777777777778,0.1612903225806451,0.2043010752688172,0.0,0.0,0.0,0.5524625267665976,0.6784313725490196,0.04301075268817209
1730761200,0.6282527881040892,0.5123152709359606,0.7063492063492065,0.64,0.2280701754385964,0.3861111111111111,0.1827956989247312,0.2150537634408602,0.0,0.0,0.0,0.5481798715203439,0.6627450980392157,0.032258064516129004
1730763000,0.633828996282528,0.5221674876847291,0.6878306878306879,0.6,0.2631578947368421,0.3,0.1612903225806451,0.2043010752688172,0.0,0.0,0.0,0.5460385438972171,0.6509803921568628,0.04301075268817209
1730764800,0.6431226765799257,0.5221674876847291,0.67989417989418,0.57,0.2865497076023391,0.3138888888888889,0.1827956989247312,0.2365591397849462,0.0,0.0,0.0,0.539614561027839,0.6509803921568628,0.053763440860215006
1730766600,0.637546468401487,0.5098522167487686,0.6931216931216932,0.6,0.2631578947368421,0.3916666666666666,0.2043010752688172,0.2580645161290322,0.0,0.0,0.0,0.5353319057815854,0.6588235294117647,0.053763440860215006
1730768400,0.6319702602230484,0.5123152709359606,0.6931216931216932,0.61,0.2514619883040935,0.35,0.1827956989247312,0.2150537634408602,0.0,0.0,0.0,0.5331905781584585,0.6549019607843137,0.032258064516129004
1730770200,0.6319702602230484,0.5197044334975369,0.716931216931217,0.65,0.2280701754385964,0.2722222222222222,0.1827956989247312,0.2365591397849462,0.0,0.0,0.0,0.5331905781584585,0.6745098039215686,0.053763440860215006
1730772000,0.633828996282528,0.5024630541871922,0.7275132275132276,0.66,0.2163742690058479,0.1972222222222222,0.2365591397849462,0.3010752688172043,0.0,0.0,0.0,0.5310492505353341,0.6862745098039216,0.06451612903225812
1730773800,0.6319702602230484,0.4901477832512315,0.7248677248677249,0.66,0.2163742690058479,0.2,0.2580645161290322,0.3440860215053763,0.0,0.0,0.0,0.5267665952890804,0.6823529411764705,0.08602150537634412
1730775600,0.617100371747212,0.4556650246305418,0.7328042328042329,0.71,0.1812865497076023,0.1722222222222222,0.3010752688172043,0.3548387096774194,0.0,0.0,0.0,0.5246252676659536,0.6784313725490196,0.05376344086021506
1730777400,0.6115241635687734,0.4605911330049261,0.7433862433862435,0.74,0.1578947368421052,0.1388888888888889,0.2795698924731182,0.3440860215053763,0.0,0.0,0.0,0.5224839400428268,0.6823529411764705,0.06451612903225812
1730779200,0.6301115241635689,0.4655172413793104,0.7142857142857143,0.65,0.2280701754385964,0.125,0.3010752688172043,0.3763440860215054,0.0,0.0,0.0,0.513918629550322,0.6705882352941177,0.07526881720430106
1730781000,0.6356877323420075,0.4729064039408867,0.716931216931217,0.64,0.2339181286549707,0.1722222222222222,0.3010752688172043,0.3548387096774194,0.0,0.0,0.0,0.5074946466809439,0.6784313725490196,0.05376344086021506
1730782800,0.6394052044609667,0.4729064039408867,0.7275132275132276,0.65,0.2280701754385964,0.1638888888888889,0.3225806451612903,0.3978494623655914,0.0,0.0,0.0,0.498929336188439,0.6901960784313727,0.07526881720430106
1730784600,0.633828996282528,0.4532019704433498,0.7195767195767198,0.65,0.2280701754385964,0.15,0.3440860215053763,0.3978494623655914,0.0,0.0,0.0,0.4903640256959317,0.6784313725490196,0.05376344086021506
1730786400,0.6394052044609667,0.4679802955665024,0.7407407407407408,0.67,0.2105263157894736,0.1527777777777778,0.3440860215053763,0.3978494623655914,0.0,0.0,0.0,0.4946466809421854,0.7019607843137254,0.05376344086021506
1730788200,0.6282527881040892,0.458128078817734,0.7248677248677249,0.67,0.2105263157894736,0.1333333333333333,0.3225806451612903,0.3978494623655914,0.0,0.0,0.0,0.498929336188439,0.6784313725490196,0.07526881720430106
1730790000,0.617100371747212,0.4482758620689656,0.716931216931217,0.68,0.1988304093567251,0.1333333333333333,0.3010752688172043,0.4193548387096774,0.0,0.0,0.0,0.5010706638115634,0.6627450980392157,0.11827956989247307
1730791800,0.6263940520446097,0.4556650246305418,0.7513227513227514,0.72,0.175438596491228,0.1472222222222222,0.3440860215053763,0.3978494623655914,0.0,0.0,0.0,0.5032119914346902,0.7019607843137254,0.05376344086021506
1730793600,0.6208178438661711,0.4482758620689656,0.7566137566137567,0.74,0.1578947368421052,0.1416666666666666,0.3440860215053763,0.4946236559139785,0.0,0.0,0.0,0.498929336188439,0.7019607843137254,0.15053763440860218
1730795400,0.6226765799256506,0.4630541871921182,0.7645502645502646,0.75,0.1520467836257309,0.0972222222222222,0.3225806451612903,0.4193548387096774,0.0,0.0,0.0,0.5032119914346902,0.7098039215686275,0.09677419354838707
1730797200,0.6189591078066914,0.4655172413793104,0.7592592592592593,0.75,0.1520467836257309,0.1,0.3010752688172043,0.3763440860215054,0.0,0.0,0.0,0.5117773019271952,0.7019607843137254,0.07526881720430106
1730799000,0.617100371747212,0.4729064039408867,0.7566137566137567,0.75,0.1520467836257309,0.1111111111111111,0.2795698924731182,0.3548387096774194,0.0,0.0,0.0,0.5160599571734488,0.6980392156862746,0.07526881720430117
