time,air_temp,apparent_t,dewpt,rel_hum,delta_t,wind_dir_deg,wind_spd_kmh,gust_kmh,rain_trace,rain_ten,rain_hour,press,wet_bulb_temperature
1736364600,0.5780669144981413,0.4088669950738916,0.8015873015873016,0.95,0.017543859649122806,0.49722222222222223,0.34408602150537637,0.5591397849462365,0.45454545454545453,0.0,0.0,0.47323340471092196,0.7176470588235294
1736366400,0.58364312267658,0.458128078817734,0.8095238095238096,0.95,0.017543859649122806,0.5472222222222223,0.25806451612903225,0.34408602150537637,0.45454545454545453,0.0,0.0,0.4775160599571756,0.7294117647058824
1736369520,0.5855018587360595,0.4704433497536946,0.8121693121693122,0.95,0.017543859649122806,0.55,0.23655913978494625,0.34408602150537637,0.457002457002457,0.0,0.007042253521126762,0.49250535331905854,0.7333333333333333
1736370960,0.5947955390334573,0.49507389162561577,0.8201058201058201,0.94,0.02339181286549707,0.5666666666666667,0.21505376344086022,0.27956989247311825,0.457002457002457,0.0,0.007042253521126762,0.49250535331905854,0.7450980392156863
1736371980,0.5929368029739778,0.46059113300492616,0.8121693121693122,0.93,0.02923976608187134,0.5555555555555556,0.27956989247311825,0.34408602150537637,0.457002457002457,0.0,0.0,0.49250535331905854,0.7372549019607844
1736374200,0.6022304832713756,0.4482758620689656,0.8174603174603176,0.91,0.040935672514619874,0.5611111111111111,0.34408602150537637,0.3978494623655914,0.0,0.0,0.0,0.4946466809421854,0.7490196078431373
1736375400,0.6078066914498143,0.4532019704433498,0.8148148148148149,0.89,0.05847953216374269,0.5527777777777778,0.34408602150537637,0.41935483870967744,0.0,0.0,0.0,0.49250535331905854,0.7490196078431373
1736378460,0.5985130111524164,0.43842364532019706,0.8174603174603176,0.92,0.03508771929824562,0.5194444444444445,0.3548387096774194,0.44086021505376344,0.002457002457002457,0.0,0.007042253521126762,0.4903640256959317,0.7450980392156863
1736379000,0.5985130111524164,0.44334975369458124,0.8174603174603176,0.92,0.03508771929824562,0.525,0.34408602150537637,0.44086021505376344,0.002457002457002457,0.0,0.007042253521126762,0.4882226980728073,0.7450980392156863
1736381580,0.6245353159851301,0.46798029556650245,0.8253968253968255,0.86,0.07602339181286549,0.5138888888888888,0.3763440860215054,0.5161290322580645,0.002457002457002457,0.0,0.0,0.4882226980728073,0.7686274509803922
1736382600,0.637546468401487,0.48522167487684736,0.8280423280423281,0.83,0.09941520467836257,0.5138888888888888,0.3763440860215054,0.4946236559139785,0.002457002457002457,0.0,0.0,0.48608137044968047,0.780392156862745
1736384400,0.6356877323420075,0.4876847290640394,0.8201058201058201,0.82,0.10526315789473684,0.5055555555555555,0.3548387096774194,0.41935483870967744,0.002457002457002457,0.0,0.0,0.48608137044968047,0.7725490196078431
1736386380,0.6356877323420075,0.4753694581280788,0.8095238095238096,0.8,0.11695906432748537,0.5083333333333333,0.3763440860215054,0.5806451612903226,0.002457002457002457,0.0,0.0,0.4796573875803,0.7607843137254902
1736388000,0.6301115241635689,0.49014778325123154,0.8280423280423281,0.85,0.08187134502923976,0.49722222222222223,0.34408602150537637,0.44086021505376344,0.002457002457002457,0.0,0.0,0.47537473233404876,0.7764705882352941
1736389800,0.6282527881040892,0.47290640394088673,0.8306878306878308,0.86,0.07602339181286549,0.49166666666666664,0.3763440860215054,0.4731182795698925,0.002457002457002457,0.0,0.0,0.47537473233404876,0.7764705882352941
1736392380,0.6263940520446097,0.48522167487684736,0.8412698412698414,0.89,0.05847953216374269,0.5111111111111111,0.3548387096774194,0.4946236559139785,0.002457002457002457,0.0,0.0,0.4689507494646683,0.7882352941176471
1736394600,0.6226765799256506,0.47783251231527096,0.835978835978836,0.89,0.05847953216374269,0.4888888888888889,0.3548387096774194,0.46236559139784944,0.002457002457002457,0.0,0.0,0.4710920770877951,0.780392156862745
1736395200,0.6319702602230484,0.4876847290640394,0.8492063492063493,0.89,0.05847953216374269,0.49166666666666664,0.3763440860215054,0.4731182795698925,0.002457002457002457,0.0,0.0,0.4668094218415439,0.7999999999999999
1736397000,0.6356877323420075,0.49261083743842365,0.8492063492063493,0.88,0.06432748538011696,0.49722222222222223,0.3763440860215054,0.4946236559139785,0.002457002457002457,0.0,0.0,0.4646680942184171,0.7999999999999999
1736398800,0.6412639405204461,0.49753694581280794,0.8439153439153441,0.85,0.08771929824561403,0.4722222222222222,0.3763440860215054,0.4731182795698925,0.002457002457002457,0.0,0.0,0.46038543897216344,0.7999999999999999
1736401500,0.6189591078066914,0.4827586206896552,0.8465608465608466,0.92,0.03508771929824562,0.4777777777777778,0.34408602150537637,0.4946236559139785,0.012285012285012284,0.12903225806451613,0.028169014084507046,0.4582441113490366,0.7882352941176471
1736403300,0.6301115241635689,0.5517241379310345,0.8650793650793652,0.93,0.03508771929824562,0.39444444444444443,0.23655913978494625,0.34408602150537637,0.012285012285012284,0.0,0.028169014084507046,0.46252676659529024,0.8156862745098039
1736404200,0.6486988847583645,0.5615763546798029,0.8730158730158731,0.89,0.05847953216374269,0.4,0.27956989247311825,0.34408602150537637,0.012285012285012284,0.0,0.028169014084507046,0.4646680942184171,0.8313725490196078
1736406000,0.6356877323420075,0.5443349753694582,0.8492063492063493,0.88,0.06432748538011696,0.41388888888888886,0.25806451612903225,0.34408602150537637,0.012285012285012284,0.0,0.0,0.4646680942184171,0.7999999999999999
1736407800,0.633828996282528,0.5665024630541872,0.851851851851852,0.89,0.05847953216374269,0.41944444444444445,0.20430107526881722,0.25806451612903225,0.012285012285012284,0.0,0.0,0.47323340471092196,0.803921568627451
1736409600,0.6431226765799257,0.5714285714285715,0.8465608465608466,0.85,0.08771929824561403,0.36666666666666664,0.21505376344086022,0.3010752688172043,0.012285012285012284,0.0,0.0,0.4817987152034268,0.803921568627451
1736411400,0.6412639405204461,0.5738916256157636,0.8571428571428573,0.88,0.07017543859649122,0.375,0.21505376344086022,0.27956989247311825,0.012285012285012284,0.0,0.0,0.48608137044968047,0.8117647058823529
1736413200,0.6263940520446097,0.5492610837438424,0.835978835978836,0.88,0.06432748538011696,0.38055555555555554,0.20430107526881722,0.23655913978494625,0.012285012285012284,0.0,0.0,0.49250535331905854,0.780392156862745
